ra,dec,flux65,flux90,flux140,flux160,qflag65,qflag90,qflag140,qflag160,peak_wl,peak_flux
346.79468,59.68932,2.674,3.349,,0.131,1,1,2,0,90.0,3.349
345.91192,60.63937,1.528,4.675,,0.0759,1,1,2,0,90.0,4.675
347.20367,58.914,2.448,3.326,,0.19,1,1,2,0,90.0,3.326
351.64518,61.02951,0.9702,5.329,,0.153,1,1,2,0,90.0,5.329
289.70751,7.93663,1.755,3.389,,0.12,1,1,2,0,90.0,3.389
348.32417,63.48541,0.4313,3.881,,0.095,1,1,2,0,90.0,3.881
337.9725,64.62261,0.2057,3.068,,0.088,1,1,2,0,90.0,3.068
358.82309,59.61977,2.848,5.813,,0.11,1,1,2,0,90.0,5.813
314.11143,44.3281,0.7501,4.216,,0.71,1,1,2,0,90.0,4.216
345.45707,62.6729,2.024,7.057,,0.391,1,1,3,1,90.0,7.057
